시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,대표품목,홈페이지주소,사용가능상품권,공중화장실보유여부,주차장보유여부,개설연도,전화번호,데이터기준일자,제공기관코드,제공기관명
역곡상상시장,상설장,경기도 부천시 원미구 부일로749번길 31,경기도 부천시 원미구 역곡동 84-7,매일,37.48757743,126.8118954,97.0,"홍두깨칼국수, 호호네, 할머니떡볶이, 한양떡방",,,Y,Y,1970.0,032-343-8562,2025-11-10,B553077,소상공인시장진흥공단
청구문화시장,상설장,경기도 성남시 분당구 내정로165번길 38,경기도 성남시 분당구 수내동 32,매일,37.37665581,127.1162348,94.0,"지랄닭발 분당점, 스시바라 수내점, 수내통닭, 빵꾸똥꾸문구야 분당양지마을점",,,Y,Y,1970.0,031-711-0826,2025-11-10,B553077,소상공인시장진흥공단
남양시장,5일장,경기도 화성시 남양읍 남양시장로 61,경기도 화성시 남양읍 남양리 1165-25,1일+6일,37.20902222,126.8159971,406.0,"화성과일, 홍콩차우, 행복한 정육점, 한가네 집밥",,,Y,Y,1970.0,031-366-9100,2025-11-10,B553077,소상공인시장진흥공단
양동쌍학시장,5일장,경기도 양평군 양동면 학둔지아래길 76,경기도 양평군 양동면 쌍학리 227-3,4일+9일,37.42017548,127.7531956,100.0,"홍가네, 한영상회, 팔팔화로, 진짜배기족발",,,Y,Y,1970.0,031-773-1722,2025-11-10,B553077,소상공인시장진흥공단
금촌전통시장,5일장,경기도 파주시 금정 24길 18-6,경기도 파주시 금촌동 64-19,1일+6일,37.76261761,126.7738861,91.0,"현진상회, 현대식당, 해주통닭, 풍년상회",,,Y,Y,1970.0,031-946-0013,2025-11-10,B553077,소상공인시장진흥공단
조암시장,5일장,경기도 화성시 우정읍 조암남로 28,경기도 화성시 우정읍 조암리 270-7,4일+9일,37.08354443,126.818488,420.0,"현대식당, 해조, 한내옛날통닭, 페리카나치킨",,,Y,Y,1970.0,031-351-8009,2025-11-10,B553077,소상공인시장진흥공단
발안만세시장,5일장,경기도 화성시 향남읍 평2길 7,경기도 화성시 향남읍 평리 81-51,5일+10일,37.13145931,126.9094512,214.0,"히말라얀다페 네팔&인도음식전문점 발안, 효자떡, 황우나라 정육점, 홍보석",,,Y,Y,1970.0,031-352-0120,2025-11-10,B553077,소상공인시장진흥공단
고성시장,5일장,경상남도 고성군 고성읍 중앙로25번길57,경상남도 고성군 고성읍 서외리 1-6,1일+6일,34.97730013,128.3230514,265.0,"힘센장어구이, 희주네 상회, 황금어장, 햇살푸드",,,Y,Y,1970.0,055-674-0698,2025-11-10,B553077,소상공인시장진흥공단
경주중앙시장,5일장,경상북도 경주시 금성로 295,경상북도 경주시 성건동 339-2,2일+7일,35.84395286,129.2067435,295.0,"효현식육점, 황금휴게실, 홍아김밥, 형아분식",,,Y,Y,1970.0,054-743-3696,2025-11-10,B553077,소상공인시장진흥공단
남해전통시장,5일장,경상남도 남해군 남해읍 화전로110,경상남도 남해군 남해읍 북변리 246-1,2일+7일,34.84014878,127.89449,115.0,"효준횟집, 효준수산, 황금수산, 호성수산",,,Y,Y,1970.0,055-864-3592,2025-11-10,B553077,소상공인시장진흥공단
